time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-25T09:09:00Z,0.43,-406.0,-0.4184270829,0.0213581034,-0.1671835581,146.0836319747,1029.1820718596,37.207525,409.70375,35.1931497618,8.6726833333,0.0069601851,0.8959,-0.0106,0.1698939306
2020-07-25T15:09:00Z,0.39,-166.0,-0.2571180584,0.0462695533,-0.0146356574,162.3453880667,1027.5156198781,42.0333571429,167.4112244898,35.5830539475,13.3890428571,0.0013135169,0.8432,0.0318,-0.6690888484
2020-07-25T21:09:00Z,0.36,-406.0,-0.4238988465,0.0091922779,-0.0263198721,148.9396745558,1029.2076784179,36.9648291667,409.7033333333,35.1752813758,8.4322666667,0.0037753301,0.8432,0.0,1.4283684491
2020-07-26T03:09:00Z,0.47,-202.0,-0.3219849639,-0.0653556562,0.1569001305,133.932793173,1027.8822908093,41.1819846154,203.1923076923,35.6101456906,12.4777,8.390736E-4,0.7905,-0.00212,0.0859957827
2020-07-26T09:09:00Z,0.53,-410.0,-0.3004967225,0.0079391558,-0.0286734313,154.4084644943,1029.2675044489,36.5771958333,413.2166666667,35.1507814799,8.0410875,0.0041367068,0.9486,0.0,-0.4593431287
2020-07-26T15:09:00Z,0.58,-204.0,-0.2509445561,-0.0118422137,0.0185401655,137.8693169439,1027.8443919316,41.5852,205.2578571429,35.6463281696,12.8492285714,7.488001E-4,0.8432,0.0,0.1698939306
2020-07-26T21:09:00Z,0.51,-408.0,-0.1809559787,0.0055647613,-0.0378454571,152.3068715329,1029.2474312422,36.6734897959,411.6389795918,35.154651211,8.1409836735,0.0030751027,0.8432,0.0212,0.7991312898
2020-07-27T03:09:00Z,0.45,-212.0,-0.1505691395,-0.0429347853,0.1012445325,130.9400367513,1028.0004693146,40.117184,213.8222,35.463095838,11.534588,7.261711E-4,0.7905,-0.0106,-0.2495974089
2020-07-27T09:09:00Z,0.71,-410.0,-0.1402431162,0.0048242101,-0.0367811554,157.8335625447,1029.2985040347,36.3434782609,413.8486956522,35.1385554665,7.8025391304,0.0029169683,1.0013,0.0,-0.4593431287
2020-07-27T15:09:00Z,0.58,-202.0,-0.2368765733,0.0558605288,-0.0857527885,131.3850269502,1027.9421817276,40.42124375,203.8227083333,35.5118626827,11.8014041667,7.4877E-4,0.6851,0.0,-1.0885803379
2020-07-27T21:09:00Z,0.51,-410.0,-0.1103998387,-0.0068276937,0.0533193163,159.8591603177,1029.3147055636,36.2110208333,413.8341666667,35.1322354002,7.6666333333,0.0019908683,0.8959,0.0106,1.0088768096
2020-07-28T03:09:00Z,0.75,-234.0,-0.2613184336,0.0432012994,0.0651042157,130.2315040783,1028.1508426214,39.67785,235.9116666667,35.4255265941,11.1092083333,7.939168E-4,0.8432,0.0,-0.4593431287
2020-07-28T09:09:00Z,0.79,-409.0,-0.0031033341,0.0036964313,0.0273851949,154.5890717901,1029.2645440054,36.6129520833,412.4977083333,35.1576274989,8.07285,0.0023522941,0.7905,-0.0212,-0.6690888484
2020-07-28T15:09:00Z,0.61,-184.0,-0.0761059561,0.008252319,0.0205995783,139.3937544535,1027.7452042291,41.5120608696,185.4704347826,35.6218051642,12.8098913043,7.939793E-4,0.8432,0.0106,-0.4593431287
2020-07-28T21:09:00Z,0.50,-409.0,0.0833502378,0.0045904127,0.0258646463,157.6770841232,1029.29193781,36.3806791667,412.9166666667,35.1428016748,7.8386583333,0.0016294835,1.0013,0.0,1.0088768096
2020-07-29T03:09:00Z,0.66,-240.0,0.0829486426,-0.0185574136,0.042485544,129.5305457794,1028.1557392642,39.9079340426,241.6114893617,35.4499067585,11.3193276596,8.390977E-4,0.7905,0.0,-0.2495974089
2020-07-29T09:09:00Z,0.64,-407.0,0.1392383346,0.0245040215,0.0092925116,157.8152973926,1029.2771259236,36.3959708333,410.1308333333,35.1434274466,7.8557666667,0.0016746642,0.8432,0.0106,-0.2495974089
2020-07-29T15:09:00Z,0.56,-151.0,-0.110806247,0.0387891391,-0.0806835072,155.2610670665,1027.4787449315,42.50105,152.2820833333,35.7144514243,13.7281625,8.391902E-4,0.6851,0.0318,0.1698939306
2020-07-29T21:09:00Z,0.59,-407.0,0.1845408641,0.0163404489,0.0117415257,166.0331777321,1029.3283336336,35.9877826087,410.7317391304,35.122530149,7.4376652174,0.0017198121,1.0013,0.0,-0.4593431287
2020-07-30T03:09:00Z,0.93,-194.0,-0.0190232862,0.0204042409,-0.1380809046,136.7424308423,1027.7855143874,41.7890583333,195.7666666667,35.6732879392,13.0320291667,7.488142E-4,0.8432,-0.0106,1.4283684491
2020-07-30T09:09:00Z,0.65,-409.0,0.1505667372,0.0411338903,0.1210022078,162.9043639198,1029.3178539761,36.1223625,412.0858333333,35.1284386067,7.5759583333,0.0017875925,0.9486,-0.0106,0.5893855701
